Zeitstempel,Lernerfolg [Ich kann ein Buch zu einem Thema im Katalog plus der BLB finden und ausleihen.],Lernerfolg [Ich kann einen Artikel zu einem Thema im Katalog plus der BLB finden.],Lernerfolg [Ich finde mich im Gebäude der BLB zurecht.],"Lernerfolg [Was ich in dieser Schulung gelernt habe, ist für mich nützlich.]",Das fand ich für mich besonders wichtig! [Tipps zum Finden von Suchbegriffen mit dem Brockhaus],Das fand ich für mich besonders wichtig! [Finden von Büchern & Artikeln],Das fand ich für mich besonders wichtig! [Übungen zur Datenbank Statista],Das fand ich für mich besonders wichtig! [Rundgang durch die Bibliothek],Das fand ich für mich besonders wichtig! [Alles rund um Ausleihe und Benutzerkonto],Inhalte und Ablauf der Schulung [Der Ablauf der Schulung war für mich nachvollziehbar.],Inhalte und Ablauf der Schulung [Das selbständige Arbeiten mit Moodle hat mir gefallen.],Inhalte und Ablauf der Schulung [Die Aufgaben waren verständlich formuliert.],Inhalte und Ablauf der Schulung [Die Quizrunden haben mir gefallen.],Der Anspruch war für mich...,Die Dauer der Schulung war für mich...,Hier können Sie uns eine Note geben. ,Wollen Sie uns noch etwas mitteilen? ,Das fand ich für mich besonders wichtig! [Informationen zur Datenbank Statista]
07.02.2023 11:17:42,2,1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,3,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
07.02.2023 11:17:43,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,3,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,2
07.02.2023 11:18:04,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,2,2,1 (trifft voll und ganz zu),,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,nein,2
07.02.2023 11:18:11,2,2,2,1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,"Sehr nettes Personal, tolles Online-Angebot, Anordnung von Büchern ein bisschen verwirrend ",2
07.02.2023 11:18:40,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
07.02.2023 11:38:02,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
07.02.2023 11:38:25,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,1 (trifft voll und ganz zu),2,,2,2,gerade richtig,gerade richtig,2,,2
07.02.2023 11:38:30,2,2,3,1 (trifft voll und ganz zu),2,3,,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,3,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
07.02.2023 11:38:36,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,sauwa gschafft,1 (trifft voll und ganz zu)
07.02.2023 11:38:41,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,2,gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
07.02.2023 11:38:52,2,2,3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
07.02.2023 11:40:02,2,3,4 (trifft überhaupt nicht zu),3,2,3,,2,3,2,,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,3,nö,1 (trifft voll und ganz zu)
08.02.2023 11:27:00,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,1,,2
08.02.2023 11:27:12,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,gerade richtig,1,,1 (trifft voll und ganz zu)
08.02.2023 11:27:23,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,suuuuuper! gaaaanz toll!,1 (trifft voll und ganz zu)
08.02.2023 11:27:48,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
08.02.2023 11:27:52,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,2
08.02.2023 11:27:58,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,Sehr nette Dame.,2
08.02.2023 11:28:02,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
08.02.2023 11:28:07,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,"Nein, bleibt so wie ihr seid, hat alles gepasst",2
08.02.2023 11:28:26,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,1 (trifft voll und ganz zu),,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,1,,1 (trifft voll und ganz zu)
09.02.2023 16:20:49,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
09.02.2023 16:21:00,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),4 (trifft überhaupt nicht zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
09.02.2023 16:21:03,1 (trifft voll und ganz zu),2,2,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
09.02.2023 16:21:03,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,gerade richtig,2,Im Großen und ganzen super toll,1 (trifft voll und ganz zu)
09.02.2023 16:21:04,1 (trifft voll und ganz zu),2,2,1 (trifft voll und ganz zu),4 (trifft überhaupt nicht zu),1 (trifft voll und ganz zu),,2,2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,"schulung im allgemeinen war gut. zeit mäßig auch nicht zu lang aber dennoch informativ! die menti umfragen haben spaß gemacht, super",1 (trifft voll und ganz zu)
09.02.2023 16:21:14,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
09.02.2023 16:22:15,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
10.02.2023 11:34:44,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,gerade richtig,1,,1 (trifft voll und ganz zu)
10.02.2023 11:35:10,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,2,zu leicht,gerade richtig,2,,1 (trifft voll und ganz zu)
10.02.2023 11:35:12,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,zu lang,2,,1 (trifft voll und ganz zu)
10.02.2023 11:35:13,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
10.02.2023 11:35:29,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,3,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,Die Quizze haben mir sehr gefallen.,1 (trifft voll und ganz zu)
10.02.2023 11:35:55,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,Theoretischen Teil etwas kürzer gestalten.,1 (trifft voll und ganz zu)
10.02.2023 11:36:12,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,ich fands super langweilig und bin fast eingeschlafen xD,1 (trifft voll und ganz zu)
10.02.2023 11:36:22,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,2,,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
10.02.2023 11:36:30,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,Super Bibliothek die ich in der Zukunft bestimmt oft besuchen werde. Die Führung war super,2
10.02.2023 11:37:28,2,3,2,1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,2,,1 (trifft voll und ganz zu),2,gerade richtig,,4,,2
10.02.2023 11:40:07,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
10.02.2023 11:40:08,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,4 (trifft überhaupt nicht zu),2,,2,2,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),bitte auswählen,bitte auswählen,2,Frau Holy war total nett!,1 (trifft voll und ganz zu)
10.02.2023 11:40:13,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,Haben Sie toll gemacht Frau Holy! :),1 (trifft voll und ganz zu)
10.02.2023 11:41:33,4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),2,3,,4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),,3,4 (trifft überhaupt nicht zu),gerade richtig,gerade richtig,1,"Es hat mega gefallen! Habe es in Betracht nicht mitzukommen, hätte es aber schwer bereut! Unfassbar gute Führung und würde es weiterempfehlen! <3",4 (trifft überhaupt nicht zu)
10.02.2023 11:43:22,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,Durch die Schulung fühle ich mich für Präsentationen und Recherchen gut gewappnet.,1 (trifft voll und ganz zu)
10.02.2023 16:07:45,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
10.02.2023 16:08:02,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,zu lang,1,Dankeschön,1 (trifft voll und ganz zu)
10.02.2023 16:08:06,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
10.02.2023 16:08:13,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
10.02.2023 16:08:33,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,2,,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,2
10.02.2023 16:08:34,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,super gemacht ;),2
10.02.2023 16:08:48,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,2,Die Moderatorin war sympathisch und cool,2
14.02.2023 11:04:03,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,zu leicht,gerade richtig,2,,1 (trifft voll und ganz zu)
14.02.2023 11:04:04,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,,2
14.02.2023 11:04:17,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,3
14.02.2023 11:04:23,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
14.02.2023 11:05:20,3,2,2,1 (trifft voll und ganz zu),2,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,2
14.02.2023 11:05:46,2,2,3,1 (trifft voll und ganz zu),2,2,,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
14.02.2023 11:06:01,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,3,gerade richtig,gerade richtig,2,lieber kahoot als menti,1 (trifft voll und ganz zu)
14.02.2023 11:32:03,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,2
14.02.2023 11:32:19,1 (trifft voll und ganz zu),2,3,1 (trifft voll und ganz zu),4 (trifft überhaupt nicht zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,zu lang,2,,2
14.02.2023 11:32:21,2,1 (trifft voll und ganz zu),3,2,4 (trifft überhaupt nicht zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,zu lang,3,,1 (trifft voll und ganz zu)
14.02.2023 11:32:36,2,2,4 (trifft überhaupt nicht zu),3,2,2,,1 (trifft voll und ganz zu),3,3,,1 (trifft voll und ganz zu),3,zu schwer,gerade richtig,2,,1 (trifft voll und ganz zu)
14.02.2023 11:32:54,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
14.02.2023 11:33:11,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,zu leicht,zu lang,2,,2
14.02.2023 11:33:32,2,2,3,1 (trifft voll und ganz zu),3,2,,2,2,1 (trifft voll und ganz zu),,2,2,gerade richtig,gerade richtig,3,,2
17.02.2023 16:25:46,2,2,,2,2,2,,2,2,2,,2,2,gerade richtig,gerade richtig,2,,2
17.02.2023 16:26:02,2,2,2,2,3,2,,2,2,2,,2,2,,zu lang,2,,2
17.02.2023 16:26:23,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,gerade richtig,2,,1 (trifft voll und ganz zu)
17.02.2023 16:26:36,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,3,1 (trifft voll und ganz zu),,3,1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,gerade richtig,2,"Nein, dies möchte ich nicht tun.",1 (trifft voll und ganz zu)
24.03.2023 16:05:21,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,
24.03.2023 16:05:34,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),3,gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
24.03.2023 16:05:49,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),3,,,1,,1 (trifft voll und ganz zu)
24.03.2023 16:06:03,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
24.03.2023 16:06:24,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,1,ajo,2
28.03.2023 16:33:15,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
28.03.2023 16:33:43,4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),,4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),,4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),zu leicht,zu lang,6,nein.,4 (trifft überhaupt nicht zu)
28.03.2023 16:33:50,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),4 (trifft überhaupt nicht zu),4 (trifft überhaupt nicht zu),2,,2,4 (trifft überhaupt nicht zu),2,,1 (trifft voll und ganz zu),4 (trifft überhaupt nicht zu),gerade richtig,zu lang,4,Das meiste ist im Internet auffindbar ,4 (trifft überhaupt nicht zu)
28.03.2023 16:33:55,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
28.03.2023 16:33:56,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,3,2,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,3,,3
28.03.2023 16:35:16,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,1 (trifft voll und ganz zu),2,,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,wohl eher 2+,3
