Zeitstempel,Lernerfolg [Ich kann ein Buch zu einem Thema im Katalog plus der BLB finden und ausleihen.],Lernerfolg [Ich kann einen Artikel zu einem Thema im Katalog plus der BLB finden.],Lernerfolg [Ich finde mich im Gebäude der BLB zurecht.],"Lernerfolg [Was ich in dieser Schulung gelernt habe, ist für mich nützlich.]",Das fand ich für mich besonders wichtig! [Tipps zum Finden von Suchbegriffen mit dem Brockhaus],Das fand ich für mich besonders wichtig! [Finden von Büchern & Artikeln],Das fand ich für mich besonders wichtig! [Übungen zur Datenbank Statista],Das fand ich für mich besonders wichtig! [Rundgang durch die Bibliothek],Das fand ich für mich besonders wichtig! [Alles rund um Ausleihe und Benutzerkonto],Inhalte und Ablauf der Schulung [Der Ablauf der Schulung war für mich nachvollziehbar.],Inhalte und Ablauf der Schulung [Das selbständige Arbeiten mit Moodle hat mir gefallen.],Inhalte und Ablauf der Schulung [Die Aufgaben waren verständlich formuliert.],Inhalte und Ablauf der Schulung [Die Quizrunden haben mir gefallen.],Der Anspruch war für mich...,Die Dauer der Schulung war für mich...,Hier können Sie uns eine Note geben. ,Wollen Sie uns noch etwas mitteilen? ,Das fand ich für mich besonders wichtig! [Informationen zur Datenbank Statista]
17.01.2023 16:17:51,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,2,,2
17.01.2023 16:18:10,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,2,Vergleichen der Aufgaben ging sehr lang,1 (trifft voll und ganz zu)
17.01.2023 16:18:14,2,2,2,2,2,2,,2,2,2,,2,1 (trifft voll und ganz zu),gerade richtig,zu lang,1,,2
17.01.2023 16:18:24,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,1,"Es war sehr interessant und informativ, danke :)",1 (trifft voll und ganz zu)
17.01.2023 16:18:44,2,2,3,1 (trifft voll und ganz zu),2,2,,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,zu lang,2,nein,2
17.01.2023 16:19:18,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,3,2,,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,2,,1 (trifft voll und ganz zu)
17.01.2023 16:19:29,1 (trifft voll und ganz zu),2,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu lang,2,,2
19.01.2023 11:07:12,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,3,2,,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,,3
19.01.2023 11:07:17,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,zu lang,2,,1 (trifft voll und ganz zu)
19.01.2023 11:07:17,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,,2
19.01.2023 11:07:19,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu schwer,gerade richtig,2,,1 (trifft voll und ganz zu)
19.01.2023 11:07:41,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,gerade richtig,2,,2
19.01.2023 11:07:43,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
19.01.2023 11:07:49,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
19.01.2023 11:08:27,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,2,2,1 (trifft voll und ganz zu),,2,3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,gerade richtig,2,,1 (trifft voll und ganz zu)
19.01.2023 11:09:03,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu kurz,2,,1 (trifft voll und ganz zu)
19.01.2023 11:09:35,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,,2,3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
19.01.2023 11:09:46,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,Es war sehr informativ und hilft mir in meinem Leben weiter.,1 (trifft voll und ganz zu)
19.01.2023 11:09:51,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,,1 (trifft voll und ganz zu)
19.01.2023 11:10:00,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),2,2,,2,3,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,zu leicht,gerade richtig,2,,2
19.01.2023 11:10:08,2,1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,zu kurz,2,"Ein längeren Rundgang wäre echt hilfreich um sich zu orientieren. peace and love, di biliboys",1 (trifft voll und ganz zu)
19.01.2023 11:10:37,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,1,döner,1 (trifft voll und ganz zu)
20.01.2023 11:26:51,1 (trifft voll und ganz zu),2,2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,2,1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,danke,1 (trifft voll und ganz zu)
20.01.2023 11:26:55,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),3,,gerade richtig,2,"Bitte siezen Sie keine Kinder, jetzt fühl ich mich alt.
",2
20.01.2023 11:26:56,2,1 (trifft voll und ganz zu),3,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,,,3,gerade richtig,gerade richtig,2,,1 (trifft voll und ganz zu)
20.01.2023 11:27:12,1 (trifft voll und ganz zu),2,3,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),,gerade richtig,gerade richtig,2,"Das Siezen hat mich verwirrt, sonst gut.",2
20.01.2023 11:27:18,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),2,3,,2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),gerade richtig,gerade richtig,2,Moin und danke :),2
20.01.2023 11:27:22,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,zu kurz,1,sehr nice unterhaltung ,2
20.01.2023 11:27:39,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,zu kurz,6,,1 (trifft voll und ganz zu)
20.01.2023 11:27:46,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),2,2,1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),,1 (trifft voll und ganz zu),1 (trifft voll und ganz zu),zu leicht,zu lang,2,esspause,1 (trifft voll und ganz zu)
